epoch,Categorical Accuracy,Macro F1,Weighted F1,loss,val_Categorical Accuracy,val_Macro F1,val_Weighted F1,val_loss
0,0.12624406814575195,0.126107320189476,0.1260792315006256,2.272886037826538,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0778236389160156
1,0.12532559037208557,0.12527592480182648,0.1252940148115158,2.2508175373077393,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0676748752593994
2,0.12747785449028015,0.127337247133255,0.12740042805671692,2.234006643295288,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0664734840393066
3,0.12579168379306793,0.125589519739151,0.12566521763801575,2.2207281589508057,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0697214603424072
4,0.12864311039447784,0.12844452261924744,0.12854601442813873,2.2129037380218506,0.01776549592614174,0.006217834539711475,0.015226582065224648,2.057375907897949
5,0.12505140900611877,0.12484997510910034,0.1249505952000618,2.2043073177337646,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0729024410247803
6,0.1269843429327011,0.12680956721305847,0.12687994539737701,2.1966311931610107,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0735678672790527
7,0.12651824951171875,0.12625358998775482,0.12636137008666992,2.1912522315979004,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0674126148223877
8,0.12720368802547455,0.12688645720481873,0.12702512741088867,2.182342529296875,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.063222885131836
9,0.12772461771965027,0.1274542212486267,0.12756600975990295,2.1724793910980225,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0799195766448975
10,0.1274230182170868,0.1271267831325531,0.12723824381828308,2.1687848567962646,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0786190032958984
11,0.12647712230682373,0.12623319029808044,0.12632733583450317,2.163350820541382,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0672335624694824
12,0.12655937671661377,0.12623897194862366,0.12636162340641022,2.157667398452759,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0796401500701904
13,0.12738190591335297,0.12702426314353943,0.1271626055240631,2.153130292892456,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0730843544006348
14,0.126737579703331,0.12638986110687256,0.12650620937347412,2.149878978729248,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0797994136810303
15,0.12485948204994202,0.12439695000648499,0.12454453110694885,2.144927740097046,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.078216791152954
16,0.1281770020723343,0.12745706737041473,0.12767592072486877,2.139096736907959,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0865285396575928
17,0.12713514268398285,0.1269334852695465,0.1270056664943695,2.1339643001556396,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.082390069961548
18,0.12620294094085693,0.12557722628116608,0.1257704794406891,2.13421368598938,0.09613107144832611,0.02929813042283058,0.038282137364149094,2.0804851055145264
19,0.12812216579914093,0.12763050198554993,0.12777209281921387,2.1297786235809326,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0794363021850586
20,0.1261892318725586,0.12566454708576202,0.12580902874469757,2.128142833709717,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0864791870117188
21,0.1255723387002945,0.12492986768484116,0.12511590123176575,2.124917984008789,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.081753730773926
22,0.1270803064107895,0.1264418661594391,0.12662725150585175,2.123286724090576,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.078343152999878
23,0.12544895708560944,0.12480619549751282,0.12496312707662582,2.121203899383545,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0817930698394775
24,0.1276286542415619,0.1269976943731308,0.127160906791687,2.12093186378479,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0804433822631836
25,0.12703917920589447,0.126280277967453,0.126459538936615,2.11590838432312,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0789883136749268
26,0.1276697814464569,0.12696363031864166,0.1271447241306305,2.1137852668762207,0.1780497431755066,0.03782922402024269,0.05400334671139717,2.0776360034942627
27,0.12596990168094635,0.1251775473356247,0.1253715306520462,2.1138546466827393,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.082733392715454
28,0.12968496978282928,0.1291627436876297,0.12929770350456238,2.109868049621582,0.1760758012533188,0.043823421001434326,0.05427953973412514,2.079228401184082
29,0.1262989044189453,0.12538841366767883,0.1256037950515747,2.110764503479004,0.17153573036193848,0.042008791118860245,0.05349385738372803,2.0808560848236084
30,0.12757381796836853,0.12663805484771729,0.12684912979602814,2.1080949306488037,0.010067113675177097,0.0024921814911067486,0.00020071260223630816,2.0829498767852783
31,0.12640857696533203,0.12562361359596252,0.1257876753807068,2.1060612201690674,0.1778523474931717,0.03781265765428543,0.053979698568582535,2.083810806274414
32,0.128245547413826,0.12721271812915802,0.12742112576961517,2.1045079231262207,0.177260160446167,0.04087117314338684,0.05413646250963211,2.0823726654052734
33,0.12839634716510773,0.127847358584404,0.12797170877456665,2.1056034564971924,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.085686445236206
34,0.12901324033737183,0.12818501889705658,0.12835508584976196,2.1026108264923096,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0796425342559814
35,0.12921887636184692,0.1280556321144104,0.12829327583312988,2.1010830402374268,0.17015396058559418,0.04137563705444336,0.053234800696372986,2.0942065715789795
36,0.12806734442710876,0.12703590095043182,0.12723547220230103,2.1016530990600586,0.010067113675177097,0.002491694176569581,0.00020067334116902202,2.0864264965057373
