epoch,Categorical Accuracy,Macro F1,Micro F1,Weighted F1,loss,val_Categorical Accuracy,val_Macro F1,val_Micro F1,val_Weighted F1,val_loss
10,0.6716067790985107,0.5486347675323486,0.6716067790985107,0.6550244092941284,1.322487711906433,0.359652578830719,0.10121104121208191,0.359652578830719,0.33095699548721313,1.932958722114563
11,0.6833270192146301,0.5584970116615295,0.6833270192146301,0.6663964986801147,1.2423633337020874,0.4915120303630829,0.15837453305721283,0.4915120303630829,0.4173831641674042,1.9410163164138794
12,0.6966729760169983,0.5748445391654968,0.6966729760169983,0.6805210113525391,1.1703060865402222,0.4982234537601471,0.20769266784191132,0.4982234537601471,0.4332561790943146,1.8375476598739624
13,0.7065784335136414,0.5890370607376099,0.7065784335136414,0.6920778751373291,1.1236331462860107,0.47927358746528625,0.22208718955516815,0.47927358746528625,0.44610995054244995,1.5799789428710938
14,0.7175803184509277,0.6017925143241882,0.717580258846283,0.7015173435211182,1.0550808906555176,0.5481642484664917,0.21711358428001404,0.5481642484664917,0.45123425126075745,1.86370050907135
15,0.7261247634887695,0.610724925994873,0.7261247038841248,0.7112024426460266,1.014529824256897,0.3582708239555359,0.12636564671993256,0.3582707941532135,0.3180040121078491,2.3108503818511963
16,0.7355765700340271,0.6273523569107056,0.7355765700340271,0.7211961150169373,0.9610188603401184,0.3624161183834076,0.10038468986749649,0.3624160885810852,0.3138965964317322,2.2920889854431152
17,0.7449149489402771,0.6383758783340454,0.7449149489402771,0.7315483093261719,0.9201981425285339,0.5422424077987671,0.190229594707489,0.5422424077987671,0.44955527782440186,1.980320930480957
18,0.7559168338775635,0.6501982808113098,0.7559168338775635,0.7422275543212891,0.8617643117904663,0.47512829303741455,0.142049640417099,0.47512829303741455,0.40049925446510315,2.1045968532562256
19,0.7635538578033447,0.6559825539588928,0.7635538578033447,0.7504163980484009,0.8363370895385742,0.43091195821762085,0.1539047658443451,0.43091195821762085,0.38271480798721313,2.1498348712921143
20,0.7688090801239014,0.6602016091346741,0.7688090205192566,0.755429744720459,0.8171399235725403,0.6877220869064331,0.5059948563575745,0.6877220869064331,0.6759207248687744,0.9884552955627441
21,0.768846869468689,0.6587937474250793,0.768846869468689,0.7551816701889038,0.8190208673477173,0.7127911448478699,0.5282193422317505,0.7127912044525146,0.7028019428253174,0.8672029376029968
22,0.7695274353027344,0.6607864499092102,0.7695274949073792,0.7565336227416992,0.8020721077919006,0.6946308612823486,0.5081242322921753,0.6946308612823486,0.6831299066543579,0.9463798403739929
23,0.7720983028411865,0.6674451231956482,0.7720983028411865,0.7594412565231323,0.7955275774002075,0.6902881860733032,0.5087299346923828,0.6902881860733032,0.6804373264312744,0.9788782000541687
24,0.7737995982170105,0.6663486361503601,0.7737995386123657,0.7603926062583923,0.7858881950378418,0.691472589969635,0.4961841106414795,0.691472589969635,0.6765534281730652,0.9479517936706543
25,0.7759924530982971,0.6673440933227539,0.7759924530982971,0.7624778151512146,0.7821030020713806,0.6814054250717163,0.4877345561981201,0.6814054250717163,0.6705276966094971,0.9850732088088989
26,0.7772400975227356,0.6719247102737427,0.7772401571273804,0.7640363574028015,0.7693018913269043,0.718120813369751,0.5469390153884888,0.7181207537651062,0.7090397477149963,0.8531480431556702
27,0.7766729593276978,0.6715513467788696,0.7766729593276978,0.7636347413063049,0.7778723239898682,0.708053708076477,0.5224415063858032,0.7080536484718323,0.7030673027038574,0.8817135095596313
28,0.780189037322998,0.6751988530158997,0.780189037322998,0.7672656774520874,0.7622814774513245,0.6975917816162109,0.4901137948036194,0.6975917816162109,0.6789321303367615,0.9379274845123291
